,contour,moments,area_pixels,area_Hm^2
24,"[[[611 197]]

 [[598 197]]

 [[593 200]]

 [[590 200]]

 [[590 202]]

 [[583 212]]

 [[580 221]]

 [[580 224]]

 [[585 229]]

 [[589 246]]

 [[594 254]]

 [[596 254]]

 [[600 258]]

 [[607 257]]

 [[610 254]]

 [[613 254]]

 [[621 247]]

 [[622 236]]

 [[624 234]]

 [[622 220]]

 [[628 214]]

 [[628 209]]

 [[624 204]]

 [[617 203]]]","[604, 225]",2056.5,375.57527942143327
25,"[[[679 148]]

 [[664 147]]

 [[657 151]]

 [[653 151]]

 [[651 153]]

 [[646 154]]

 [[641 159]]

 [[639 163]]

 [[639 180]]

 [[636 182]]

 [[638 190]]

 [[638 199]]

 [[642 206]]

 [[644 206]]

 [[645 208]]

 [[657 210]]

 [[663 214]]

 [[667 214]]

 [[675 209]]

 [[675 207]]

 [[685 198]]

 [[691 198]]

 [[699 192]]

 [[700 183]]

 [[697 172]]

 [[688 162]]]","[666, 180]",3080.5,562.5867484841843
26,"[[[685 113]]

 [[680 123]]

 [[677 124]]

 [[677 127]]

 [[679 127]]

 [[680 124]]

 [[684 121]]

 [[690 121]]

 [[698 128]]

 [[699 138]]

 [[696 141]]

 [[690 141]]

 [[687 143]]

 [[687 146]]

 [[697 160]]

 [[701 161]]

 [[711 147]]

 [[711 139]]

 [[699 113]]]","[698, 136]",691.5,126.28753013368397
27,"[[[721  90]]

 [[721  92]]

 [[716  95]]

 [[711 101]]

 [[708 111]]

 [[710 113]]

 [[716 132]]

 [[721 135]]

 [[725 135]]

 [[739 130]]

 [[741 128]]

 [[741 123]]

 [[737 115]]

 [[736 109]]

 [[731 102]]

 [[728  90]]]","[724, 114]",970.5,177.24085031777338
28,"[[[890 647]]

 [[889 664]]

 [[891 669]]

 [[891 688]]

 [[895 696]]

 [[895 700]]

 [[903 709]]

 [[906 709]]

 [[909 706]]

 [[920 702]]

 [[920 700]]

 [[908 683]]

 [[902 677]]

 [[894 658]]

 [[894 649]]]","[901, 685]",765.0,139.71071663379354
29,"[[[914 528]]

 [[911 528]]

 [[909 530]]

 [[910 533]]

 [[908 535]]

 [[897 536]]

 [[890 533]]

 [[887 527]]

 [[879 528]]

 [[878 530]]

 [[873 531]]

 [[871 533]]

 [[871 537]]

 [[877 543]]

 [[878 548]]

 [[874 549]]

 [[868 544]]

 [[864 545]]

 [[863 553]]

 [[865 557]]

 [[870 557]]

 [[875 562]]

 [[874 572]]

 [[877 577]]

 [[878 583]]

 [[884 585]]

 [[888 590]]

 [[888 593]]

 [[891 590]]

 [[896 590]]

 [[901 594]]

 [[901 599]]

 [[896 602]]

 [[893 602]]

 [[887 597]]

 [[888 608]]

 [[892 606]]

 [[899 606]]

 [[902 598]]

 [[907 593]]

 [[907 591]]

 [[905 591]]

 [[901 587]]

 [[901 584]]

 [[907 580]]

 [[911 551]]

 [[904 545]]

 [[904 539]]

 [[906 536]]

 [[912 536]]

 [[915 534]]]","[890, 560]",2082.5,380.3236175031047
30,"[[[757 522]]

 [[755 523]]

 [[753 533]]

 [[748 542]]

 [[745 564]]

 [[749 567]]

 [[755 581]]

 [[767 596]]

 [[772 598]]

 [[788 597]]

 [[793 593]]

 [[795 587]]

 [[796 567]]

 [[791 549]]

 [[778 531]]

 [[764 523]]]","[771, 561]",2752.0,502.5933231061436
31,"[[[839 421]]

 [[837 424]]

 [[842 424]]

 [[841 429]]

 [[843 431]]

 [[843 441]]

 [[837 452]]

 [[843 454]]

 [[844 468]]

 [[840 470]]

 [[840 475]]

 [[843 477]]

 [[843 480]]

 [[837 487]]

 [[837 492]]

 [[832 495]]

 [[831 502]]

 [[834 503]]

 [[841 500]]

 [[844 503]]

 [[844 506]]

 [[848 505]]

 [[849 497]]

 [[842 497]]

 [[838 494]]

 [[838 487]]

 [[843 484]]

 [[846 484]]

 [[847 482]]

 [[851 482]]

 [[854 485]]

 [[854 492]]

 [[859 492]]

 [[862 486]]

 [[866 486]]

 [[870 491]]

 [[873 491]]

 [[876 494]]

 [[887 494]]

 [[890 497]]

 [[894 497]]

 [[897 494]]

 [[904 494]]

 [[910 482]]

 [[909 463]]

 [[906 453]]

 [[907 442]]

 [[903 442]]

 [[901 444]]

 [[889 442]]

 [[881 431]]

 [[876 427]]

 [[874 422]]

 [[871 421]]

 [[868 425]]

 [[870 430]]

 [[870 434]]

 [[868 436]]

 [[863 436]]

 [[861 434]]

 [[862 423]]

 [[858 422]]

 [[859 437]]

 [[856 443]]

 [[853 446]]

 [[850 446]]

 [[847 440]]

 [[848 434]]

 [[844 429]]

 [[843 422]]]","[873, 464]",3769.0,688.3263934545986
32,"[[[874 363]]

 [[874 378]]

 [[879 383]]

 [[879 387]]

 [[875 394]]

 [[875 398]]

 [[881 405]]

 [[882 414]]

 [[890 423]]

 [[893 432]]

 [[897 436]]

 [[902 436]]

 [[906 428]]

 [[909 412]]

 [[907 399]]

 [[902 393]]

 [[902 383]]

 [[894 388]]

 [[888 387]]

 [[885 383]]

 [[885 379]]

 [[878 372]]

 [[878 365]]]","[892, 404]",1254.0,229.01599824676745
33,"[[[603 307]]

 [[603 316]]

 [[598 322]]

 [[597 328]]

 [[600 337]]

 [[604 343]]

 [[605 350]]

 [[623 383]]

 [[625 392]]

 [[631 396]]

 [[631 402]]

 [[633 404]]

 [[642 403]]

 [[646 405]]

 [[648 408]]

 [[649 421]]

 [[648 424]]

 [[642 429]]

 [[643 434]]

 [[649 427]]

 [[657 427]]

 [[665 432]]

 [[667 432]]

 [[671 428]]

 [[681 428]]

 [[681 425]]

 [[675 414]]

 [[673 414]]

 [[673 416]]

 [[670 418]]

 [[666 418]]

 [[664 416]]

 [[664 402]]

 [[657 395]]

 [[658 388]]

 [[648 386]]

 [[644 381]]

 [[644 376]]

 [[638 374]]

 [[635 371]]

 [[632 364]]

 [[626 358]]

 [[626 347]]

 [[611 328]]

 [[608 312]]

 [[606 308]]]","[634, 378]",2445.0,446.5264080648696
